Date,DAYOPEN,DAYHIGH,DAYLOW,LTP,VOLUME(QUANTITY MN),Dividends,Stock Splits,Symbol,PREVCLOSE,CHNG,%CHNG,TURNOVER(INR MN),52W HIGH,52W LOW,open,high,low,close,volume,aroon_up,aroon_down,aroon_indicator,bb_bbm,bb_bbh,bb_bbl,bb_bbw,bb_bbp,bb_bbhi,bb_bbli,coppock_curve,ema_9,ema_12,ema_21,ema_26,ema_50,ema_200,macd,macd_signal,macd_diff,psar,psar_up,psar_down,psar_up_indicator,psar_down_indicator,macd_buy,macd_sell,aroon_buy,aroon_sell,psar_buy,psar_sell,ema_buy,ema_sell
2015-06-09 00:00:00+05:30,1206.5499191654606,1238.5537494871196,1201.1460207525415,1226.25537109375,217843,0.0,0.0,SIEMENS,1212.4661865234375,13.7891845703125,1.1372840515949472,267.13114880517577,1226.25537109375,1212.4661865234375,1206.5499191654606,1238.5537494871196,1201.1460207525415,1226.25537109375,217843,,,,,,,,,0.0,0.0,,,,,,,,,,,1226.25537109375,,,0.0,0.0,0,0,0,0,0,0,0,0
2015-06-10 00:00:00+05:30,1223.0408513363088,1257.70011159398,1215.866816761164,1243.3519287109375,203853,0.0,0.0,SIEMENS,1226.25537109375,17.0965576171875,1.3942085816870546,253.46102072351073,1243.3519287109375,1212.4661865234375,1223.0408513363088,1257.70011159398,1215.866816761164,1243.3519287109375,203853,,,,,,,,,0.0,0.0,,,,,,,,,,,1243.3519287109375,,,0.0,0.0,0,0,0,0,0,0,0,0
2015-06-11 00:00:00+05:30,1254.8118419190826,1270.3711645580838,1192.015327429801,1206.503173828125,291800,0.0,0.0,SIEMENS,1243.3519287109375,-36.8487548828125,-2.963662502298602,352.0576261230469,1243.3519287109375,1206.503173828125,1254.8118419190826,1270.3711645580838,1192.015327429801,1206.503173828125,291800,,,,,,,,,0.0,0.0,,,,,,,,,,,1257.70011159398,,1238.5537494871196,0.0,1.0,0,0,0,0,1,0,0,0
2015-06-12 00:00:00+05:30,1206.5500578458891,1218.3360715049928,1193.5062734367446,1204.4537353515625,171339,0.0,0.0,SIEMENS,1206.503173828125,-2.0494384765625,-0.1698659830342441,206.36989856140136,1243.3519287109375,1204.4537353515625,1206.5500578458891,1218.3360715049928,1193.5062734367446,1204.4537353515625,171339,,,,,,,,,0.0,0.0,,,,,,,,,,,1270.3711645580838,,1237.6229810459731,0.0,0.0,0,0,0,0,0,0,0,0
2015-06-15 00:00:00+05:30,1206.5499105444248,1231.379705581331,1200.8199403462525,1228.3516845703125,191685,0.0,0.0,SIEMENS,1204.4537353515625,23.89794921875,1.9841317700571155,235.45659265686035,1243.3519287109375,1204.4537353515625,1206.5499105444248,1231.379705581331,1200.8199403462525,1228.3516845703125,191685,,,,,,,,,0.0,0.0,,,,,,,,,,,1236.7108279736497,,1236.7108279736497,0.0,0.0,0,0,0,0,0,0,0,0
2015-06-16 00:00:00+05:30,1225.184009652114,1233.150080455128,1211.20852665228,1226.395263671875,199913,0.0,0.0,SIEMENS,1228.3516845703125,-1.9564208984375,-0.1592720491218174,245.17235634643555,1243.3519287109375,1204.4537353515625,1225.184009652114,1233.150080455128,1211.20852665228,1226.395263671875,199913,,,,,,,,,0.0,0.0,,,,,,,,,,,1235.8169179627728,,1235.8169179627728,0.0,0.0,0,0,0,0,0,0,0,0
2015-06-17 00:00:00+05:30,1238.2277460161424,1247.5447343232615,1223.3205647247516,1231.007080078125,306461,0.0,0.0,SIEMENS,1226.395263671875,4.61181640625,0.3760464951929154,377.2556607678223,1243.3519287109375,1204.4537353515625,1238.2277460161424,1247.5447343232615,1223.3205647247516,1231.007080078125,306461,,,,,,,,,0.0,0.0,,,,,,,,,,,1192.015327429801,1192.015327429801,,1.0,0.0,0,0,0,0,0,1,0,0
2015-06-18 00:00:00+05:30,1236.736998135714,1278.430519040238,1224.624913850601,1270.9769287109375,378605,0.0,0.0,SIEMENS,1231.007080078125,39.9698486328125,3.2469227252759456,481.1982200946045,1270.9769287109375,1204.4537353515625,1236.736998135714,1278.430519040238,1224.624913850601,1270.9769287109375,378605,,,,,,,,,0.0,0.0,,,,,,,,,,,1193.12591556767,1193.12591556767,,0.0,0.0,0,0,0,0,0,0,0,0
2015-06-19 00:00:00+05:30,1282.2970290023302,1299.7197500511315,1273.8184794315616,1277.8714599609375,309948,0.0,0.0,SIEMENS,1270.9769287109375,6.89453125,0.5424591976655814,396.07370327197265,1277.8714599609375,1204.4537353515625,1282.2970290023302,1299.7197500511315,1273.8184794315616,1277.8714599609375,309948,,,,,,,,,0.0,0.0,,1242.7810174359377,,,,,,,,,1196.538099706573,1196.538099706573,,0.0,0.0,0,0,0,0,0,0,0,0
2015-06-22 00:00:00+05:30,1281.0859576270827,1293.7570396250576,1257.7934856702266,1282.7164306640625,305594,0.0,0.0,SIEMENS,1277.8714599609375,4.844970703125,0.379143822749833,391.9904449123535,1282.7164306640625,1204.4537353515625,1281.0859576270827,1293.7570396250576,1257.7934856702266,1282.7164306640625,305594,,,,,,,,,0.0,0.0,,1250.7681000815626,,,,,,,,,1202.7289987272463,1202.7289987272463,,0.0,0.0,0,0,0,0,0,0,0,0
